geo,time,na_item,values
DE,2004-07-01,GValueAddIndus,128603
DE,2004-10-01,GValueAddIndus,127866.5
DE,2005-01-01,GValueAddIndus,128626.5
DE,2005-04-01,GValueAddIndus,129269
DE,2005-07-01,GValueAddIndus,130444.3
DE,2005-10-01,GValueAddIndus,132544.2
DE,2006-01-01,GValueAddIndus,134957.3
DE,2006-04-01,GValueAddIndus,138138.5
DE,2006-07-01,GValueAddIndus,140113
DE,2006-10-01,GValueAddIndus,141664.4
DE,2007-01-01,GValueAddIndus,142326.5
DE,2007-04-01,GValueAddIndus,144708.3
DE,2007-07-01,GValueAddIndus,146369.3
DE,2007-10-01,GValueAddIndus,147873.5
DE,2008-01-01,GValueAddIndus,146212.4
DE,2008-04-01,GValueAddIndus,146055.7
DE,2008-07-01,GValueAddIndus,143125.5
DE,2008-10-01,GValueAddIndus,134507.3
DE,2009-01-01,GValueAddIndus,118675.8
DE,2009-04-01,GValueAddIndus,118519.1
DE,2009-07-01,GValueAddIndus,122264.4
DE,2009-10-01,GValueAddIndus,123815.8
DE,2010-01-01,GValueAddIndus,134361.7
DE,2010-04-01,GValueAddIndus,138875
DE,2010-07-01,GValueAddIndus,141115.9
DE,2010-10-01,GValueAddIndus,145378.3
DE,2011-01-01,GValueAddIndus,146545.7
DE,2011-04-01,GValueAddIndus,146624
DE,2011-07-01,GValueAddIndus,149084.2
DE,2011-10-01,GValueAddIndus,148112.7
DE,2012-01-01,GValueAddIndus,148496.6
DE,2012-04-01,GValueAddIndus,149013.7
DE,2012-07-01,GValueAddIndus,149483.9
DE,2012-10-01,GValueAddIndus,146522.1
DE,2013-01-01,GValueAddIndus,146263.6
DE,2013-04-01,GValueAddIndus,147548.6
DE,2013-07-01,GValueAddIndus,148316.4
DE,2013-10-01,GValueAddIndus,150682.6
DE,2014-01-01,GValueAddIndus,154290.7
DE,2014-04-01,GValueAddIndus,153507.2
DE,2014-07-01,GValueAddIndus,154666.8
DE,2014-10-01,GValueAddIndus,156907.7
DE,2015-01-01,GValueAddIndus,154768.6
DE,2015-04-01,GValueAddIndus,156508.1
DE,2015-07-01,GValueAddIndus,157338.7
DE,2015-10-01,GValueAddIndus,156790.2
DE,2016-01-01,GValueAddIndus,162345.3
DE,2016-04-01,GValueAddIndus,162486.4
DE,2016-07-01,GValueAddIndus,163755.7
DE,2016-10-01,GValueAddIndus,163614.6
DE,2017-01-01,GValueAddIndus,166251.1
DE,2017-04-01,GValueAddIndus,168930.8
DE,2017-07-01,GValueAddIndus,172644.7
